order_id,order_price,order_time,out_time,customer_id_id,deliver_id_id
xs000001,99.33,2017/10/2 10:56,2017/10/2 11:07,2,xs10561
xs000002,24.39,2018/7/24 20:41,2018/7/26 3:24,3,xs204110
xs000003,65.71,2018/8/8 8:38,2018/8/8 8:55,4,xs838100
xs000004,107.78,2017/11/18 19:28,2017/11/18 19:45,5,xs19281000
xs000005,128.45,2018/2/13 21:18,2018/2/13 22:20,6,xs2118101
xs000006,96.12,2017/7/9 21:57,2017/7/9 22:10,7,xs2157102
xs000007,81.16,2017/4/11 12:22,2017/4/13 13:25,8,xs1222103
xs000008,51.84,2017/5/16 13:10,2017/5/16 13:22,9,xs1310104
xs000009,341.09,2017/1/23 18:29,2017/1/25 2:50,13,xs1829105
xs000010,51.95,2017/7/29 11:55,2017/7/29 12:05,14,xs1155106
xs000011,188.73,2017/5/16 19:41,2017/5/16 19:50,15,xs1941107
xs000012,141.9,2017/7/13 19:58,2017/7/13 20:10,16,xs1958108
xs000013,75.78,2018/6/7 10:06,2018/6/9 3:13,18,xs106109
xs000014,102.66,2018/7/25 17:44,2018/7/25 17:55,19,xs174411
xs000015,105.28,2018/3/1 14:14,2018/3/1 15:10,20,xs1414111
xs000016,157.45,2018/6/7 19:03,2018/6/12 23:31,21,xs193112
xs000017,132.04,2018/1/2 19:00,2018/1/2 19:09,22,xs190113
xs000018,98.94,2017/12/26 23:41,2017/12/26 23:50,23,xs2341114
xs000019,244.15,2017/11/21 0:03,2017/11/21 0:14,24,xs03115
xs000020,136.71,2017/10/26 15:54,2017/10/26 16:08,25,xs1554116
xs000021,47.69,2017/9/18 14:31,2017/9/19 4:04,26,xs1431117
xs000022,170.57,2018/3/15 8:52,2018/3/15 9:09,27,xs852118
xs000023,67.5,2018/2/3 20:37,2018/2/3 20:50,28,xs2037119
xs000024,353.09,2018/1/8 7:55,2018/1/8 8:07,29,xs75512
xs000025,330.66,2018/8/9 11:44,2018/8/10 3:24,30,xs1144120
xs000026,45.17,2018/2/20 23:46,2018/2/22 2:30,31,xs2346121
xs000027,541,2018/6/4 0:00,2018/6/5 0:35,32,xs00122
xs000028,139.22,2018/3/12 1:50,2018/3/12 3:28,33,xs150123
xs000029,290.16,2018/5/2 11:45,2018/5/3 12:55,34,xs1145124
